id,num,name,type1,type2,hp,atk,def,spa,spd,spe,ability_primary,ability_secondary,ability_hidden,height_m,weight_kg,color,egg_groups,gender_ratio_m,gender_ratio_f,forme,base_species
bulbasaur,1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,Overgrow,,Chlorophyll,0.7,6.9,Green,Monster; Grass,0.875,0.125,,
ivysaur,2,Ivysaur,Grass,Poison,60,62,63,80,80,60,Overgrow,,Chlorophyll,1,13,Green,Monster; Grass,0.875,0.125,,
venusaur,3,Venusaur,Grass,Poison,80,82,83,100,100,80,Overgrow,,Chlorophyll,2,100,Green,Monster; Grass,0.875,0.125,,
venusaurmega,3,Venusaur-Mega,Grass,Poison,80,100,123,122,120,80,Thick Fat,,,2.4,155.5,Green,Monster; Grass,0.875,0.125,Mega,Venusaur
venusaurgmax,3,Venusaur-Gmax,Grass,Poison,80,82,83,100,100,80,Overgrow,,Chlorophyll,24,0,Green,Monster; Grass,0.875,0.125,Gmax,Venusaur
charmander,4,Charmander,Fire,,39,52,43,60,50,65,Blaze,,Solar Power,0.6,8.5,Red,Monster; Dragon,0.875,0.125,,
charmeleon,5,Charmeleon,Fire,,58,64,58,80,65,80,Blaze,,Solar Power,1.1,19,Red,Monster; Dragon,0.875,0.125,,
charizard,6,Charizard,Fire,Flying,78,84,78,109,85,100,Blaze,,Solar Power,1.7,90.5,Red,Monster; Dragon,0.875,0.125,,
charizardmegax,6,Charizard-Mega-X,Fire,Dragon,78,130,111,130,85,100,Tough Claws,,,1.7,110.5,Black,Monster; Dragon,0.875,0.125,Mega-X,Charizard
charizardmegay,6,Charizard-Mega-Y,Fire,Flying,78,104,78,159,115,100,Drought,,,1.7,100.5,Red,Monster; Dragon,0.875,0.125,Mega-Y,Charizard
charizardgmax,6,Charizard-Gmax,Fire,Flying,78,84,78,109,85,100,Blaze,,Solar Power,28,0,Red,Monster; Dragon,0.875,0.125,Gmax,Charizard
squirtle,7,Squirtle,Water,,44,48,65,50,64,43,Torrent,,Rain Dish,0.5,9,Blue,Monster; Water 1,0.875,0.125,,
wartortle,8,Wartortle,Water,,59,63,80,65,80,58,Torrent,,Rain Dish,1,22.5,Blue,Monster; Water 1,0.875,0.125,,
blastoise,9,Blastoise,Water,,79,83,100,85,105,78,Torrent,,Rain Dish,1.6,85.5,Blue,Monster; Water 1,0.875,0.125,,
blastoisemega,9,Blastoise-Mega,Water,,79,103,120,135,115,78,Mega Launcher,,,1.6,101.1,Blue,Monster; Water 1,0.875,0.125,Mega,Blastoise
blastoisegmax,9,Blastoise-Gmax,Water,,79,83,100,85,105,78,Torrent,,Rain Dish,25,0,Blue,Monster; Water 1,0.875,0.125,Gmax,Blastoise
caterpie,10,Caterpie,Bug,,45,30,35,20,20,45,Shield Dust,,Run Away,0.3,2.9,Green,Bug,,,,
metapod,11,Metapod,Bug,,50,20,55,25,25,30,Shed Skin,,,0.7,9.9,Green,Bug,,,,
butterfree,12,Butterfree,Bug,Flying,60,45,50,90,80,70,Compound Eyes,,Tinted Lens,1.1,32,White,Bug,,,,
butterfreegmax,12,Butterfree-Gmax,Bug,Flying,60,45,50,90,80,70,Compound Eyes,,Tinted Lens,17,0,White,Bug,,,Gmax,Butterfree
weedle,13,Weedle,Bug,Poison,40,35,30,20,20,50,Shield Dust,,Run Away,0.3,3.2,Brown,Bug,,,,
kakuna,14,Kakuna,Bug,Poison,45,25,50,25,25,35,Shed Skin,,,0.6,10,Yellow,Bug,,,,
beedrill,15,Beedrill,Bug,Poison,65,90,40,45,80,75,Swarm,,Sniper,1,29.5,Yellow,Bug,,,,
beedrillmega,15,Beedrill-Mega,Bug,Poison,65,150,40,15,80,145,Adaptability,,,1.4,40.5,Yellow,Bug,,,Mega,Beedrill
pidgey,16,Pidgey,Normal,Flying,40,45,40,35,35,56,Keen Eye,Tangled Feet,Big Pecks,0.3,1.8,Brown,Flying,,,,
pidgeotto,17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,Keen Eye,Tangled Feet,Big Pecks,1.1,30,Brown,Flying,,,,
pidgeot,18,Pidgeot,Normal,Flying,83,80,75,70,70,101,Keen Eye,Tangled Feet,Big Pecks,1.5,39.5,Brown,Flying,,,,
pidgeotmega,18,Pidgeot-Mega,Normal,Flying,83,80,80,135,80,121,No Guard,,,2.2,50.5,Brown,Flying,,,Mega,Pidgeot
rattata,19,Rattata,Normal,,30,56,35,25,35,72,Run Away,Guts,Hustle,0.3,3.5,Purple,Field,,,,
rattataalola,19,Rattata-Alola,Dark,Normal,30,56,35,25,35,72,Gluttony,Hustle,Thick Fat,0.3,3.8,Black,Field,,,Alola,Rattata
raticate,20,Raticate,Normal,,55,81,60,50,70,97,Run Away,Guts,Hustle,0.7,18.5,Brown,Field,,,,
raticatealola,20,Raticate-Alola,Dark,Normal,75,71,70,40,80,77,Gluttony,Hustle,Thick Fat,0.7,25.5,Black,Field,,,Alola,Raticate
raticatealolatotem,20,Raticate-Alola-Totem,Dark,Normal,75,71,70,40,80,77,Thick Fat,,,1.4,105,Black,Field,,,Alola-Totem,Raticate
spearow,21,Spearow,Normal,Flying,40,60,30,31,31,70,Keen Eye,,Sniper,0.3,2,Brown,Flying,,,,
fearow,22,Fearow,Normal,Flying,65,90,65,61,61,100,Keen Eye,,Sniper,1.2,38,Brown,Flying,,,,
ekans,23,Ekans,Poison,,35,60,44,40,54,55,Intimidate,Shed Skin,Unnerve,2,6.9,Purple,Field; Dragon,,,,
arbok,24,Arbok,Poison,,60,95,69,65,79,80,Intimidate,Shed Skin,Unnerve,3.5,65,Purple,Field; Dragon,,,,
pikachu,25,Pikachu,Electric,,35,55,40,50,50,90,Static,,Lightning Rod,0.4,6,Yellow,Field; Fairy,,,,
pikachucosplay,25,Pikachu-Cosplay,Electric,,35,55,40,50,50,90,Lightning Rod,,,0.4,6,Yellow,Undiscovered,,,Cosplay,Pikachu
pikachurockstar,25,Pikachu-Rock-Star,Electric,,35,55,40,50,50,90,Lightning Rod,,,0.4,6,Yellow,Undiscovered,,,Rock-Star,Pikachu
pikachubelle,25,Pikachu-Belle,Electric,,35,55,40,50,50,90,Lightning Rod,,,0.4,6,Yellow,Undiscovered,,,Belle,Pikachu
pikachupopstar,25,Pikachu-Pop-Star,Electric,,35,55,40,50,50,90,Lightning Rod,,,0.4,6,Yellow,Undiscovered,,,Pop-Star,Pikachu
pikachuphd,25,Pikachu-PhD,Electric,,35,55,40,50,50,90,Lightning Rod,,,0.4,6,Yellow,Undiscovered,,,PhD,Pikachu
pikachulibre,25,Pikachu-Libre,Electric,,35,55,40,50,50,90,Lightning Rod,,,0.4,6,Yellow,Undiscovered,,,Libre,Pikachu
pikachuoriginal,25,Pikachu-Original,Electric,,35,55,40,50,50,90,Static,,Lightning Rod,0.4,6,Yellow,Undiscovered,,,Original,Pikachu
pikachuhoenn,25,Pikachu-Hoenn,Electric,,35,55,40,50,50,90,Static,,Lightning Rod,0.4,6,Yellow,Undiscovered,,,Hoenn,Pikachu
pikachusinnoh,25,Pikachu-Sinnoh,Electric,,35,55,40,50,50,90,Static,,Lightning Rod,0.4,6,Yellow,Undiscovered,,,Sinnoh,Pikachu
pikachuunova,25,Pikachu-Unova,Electric,,35,55,40,50,50,90,Static,,Lightning Rod,0.4,6,Yellow,Undiscovered,,,Unova,Pikachu
pikachukalos,25,Pikachu-Kalos,Electric,,35,55,40,50,50,90,Static,,Lightning Rod,0.4,6,Yellow,Undiscovered,,,Kalos,Pikachu
pikachualola,25,Pikachu-Alola,Electric,,35,55,40,50,50,90,Static,,Lightning Rod,0.4,6,Yellow,Undiscovered,,,Alola,Pikachu
pikachupartner,25,Pikachu-Partner,Electric,,35,55,40,50,50,90,Static,,Lightning Rod,0.4,6,Yellow,Undiscovered,,,Partner,Pikachu
pikachustarter,25,Pikachu-Starter,Electric,,45,80,50,75,60,120,Static,,Lightning Rod,0.4,6,Yellow,Undiscovered,,,Starter,Pikachu
pikachugmax,25,Pikachu-Gmax,Electric,,35,55,40,50,50,90,Static,,Lightning Rod,21,0,Yellow,Field; Fairy,,,Gmax,Pikachu
pikachuworld,25,Pikachu-World,Electric,,35,55,40,50,50,90,Static,,Lightning Rod,0.4,6,Yellow,Undiscovered,,,World,Pikachu
raichu,26,Raichu,Electric,,60,90,55,90,80,110,Static,,Lightning Rod,0.8,30,Yellow,Field; Fairy,,,,
raichualola,26,Raichu-Alola,Electric,Psychic,60,85,50,95,85,110,Surge Surfer,,,0.7,21,Brown,Field; Fairy,,,Alola,Raichu
raichumegax,26,Raichu-Mega-X,Electric,,60,135,95,90,95,110,Surge Surfer,,,1.2,38,Yellow,Field; Fairy,,,Mega-X,Raichu
raichumegay,26,Raichu-Mega-Y,Electric,,60,100,55,160,80,130,Surge Surfer,,,1,26,Yellow,Field; Fairy,,,Mega-Y,Raichu
sandshrew,27,Sandshrew,Ground,,50,75,85,20,30,40,Sand Veil,,Sand Rush,0.6,12,Yellow,Field,,,,
sandshrewalola,27,Sandshrew-Alola,Ice,Steel,50,75,90,10,35,40,Snow Cloak,,Slush Rush,0.7,40,White,Field,,,Alola,Sandshrew
sandslash,28,Sandslash,Ground,,75,100,110,45,55,65,Sand Veil,,Sand Rush,1,29.5,Yellow,Field,,,,
sandslashalola,28,Sandslash-Alola,Ice,Steel,75,100,120,25,65,65,Snow Cloak,,Slush Rush,1.2,55,Blue,Field,,,Alola,Sandslash
nidoranf,29,Nidoran-F,Poison,,55,47,52,40,40,41,Poison Point,Rivalry,Hustle,0.4,7,Blue,Monster; Field,,,,
nidorina,30,Nidorina,Poison,,70,62,67,55,55,56,Poison Point,Rivalry,Hustle,0.8,20,Blue,Undiscovered,,,,
nidoqueen,31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,Poison Point,Rivalry,Sheer Force,1.3,60,Blue,Undiscovered,,,,
nidoranm,32,Nidoran-M,Poison,,46,57,40,40,40,50,Poison Point,Rivalry,Hustle,0.5,9,Purple,Monster; Field,,,,
nidorino,33,Nidorino,Poison,,61,72,57,55,55,65,Poison Point,Rivalry,Hustle,0.9,19.5,Purple,Monster; Field,,,,
nidoking,34,Nidoking,Poison,Ground,81,102,77,85,75,85,Poison Point,Rivalry,Sheer Force,1.4,62,Purple,Monster; Field,,,,
clefairy,35,Clefairy,Fairy,,70,45,48,60,65,35,Cute Charm,Magic Guard,Friend Guard,0.6,7.5,Pink,Fairy,0.25,0.75,,
clefable,36,Clefable,Fairy,,95,70,73,95,90,60,Cute Charm,Magic Guard,Unaware,1.3,40,Pink,Fairy,0.25,0.75,,
clefablemega,36,Clefable-Mega,Fairy,Flying,95,80,93,135,110,70,Cute Charm,Magic Guard,Unaware,1.7,42.3,Pink,Field,0.25,0.75,Mega,Clefable
vulpix,37,Vulpix,Fire,,38,41,40,50,65,65,Flash Fire,,Drought,0.6,9.9,Brown,Field,0.25,0.75,,
vulpixalola,37,Vulpix-Alola,Ice,,38,41,40,50,65,65,Snow Cloak,,Snow Warning,0.6,9.9,White,Field,0.25,0.75,Alola,Vulpix
ninetales,38,Ninetales,Fire,,73,76,75,81,100,100,Flash Fire,,Drought,1.1,19.9,Yellow,Field,0.25,0.75,,
ninetalesalola,38,Ninetales-Alola,Ice,Fairy,73,67,75,81,100,109,Snow Cloak,,Snow Warning,1.1,19.9,Blue,Field,0.25,0.75,Alola,Ninetales
jigglypuff,39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,Cute Charm,Competitive,Friend Guard,0.5,5.5,Pink,Fairy,0.25,0.75,,
wigglytuff,40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,Cute Charm,Competitive,Frisk,1,12,Pink,Fairy,0.25,0.75,,
zubat,41,Zubat,Poison,Flying,40,45,35,30,40,55,Inner Focus,,Infiltrator,0.8,7.5,Purple,Flying,,,,
golbat,42,Golbat,Poison,Flying,75,80,70,65,75,90,Inner Focus,,Infiltrator,1.6,55,Purple,Flying,,,,
oddish,43,Oddish,Grass,Poison,45,50,55,75,65,30,Chlorophyll,,Run Away,0.5,5.4,Blue,Grass,,,,
gloom,44,Gloom,Grass,Poison,60,65,70,85,75,40,Chlorophyll,,Stench,0.8,8.6,Blue,Grass,,,,
vileplume,45,Vileplume,Grass,Poison,75,80,85,110,90,50,Chlorophyll,,Effect Spore,1.2,18.6,Red,Grass,,,,
paras,46,Paras,Bug,Grass,35,70,55,45,55,25,Effect Spore,Dry Skin,Damp,0.3,5.4,Red,Bug; Grass,,,,
parasect,47,Parasect,Bug,Grass,60,95,80,60,80,30,Effect Spore,Dry Skin,Damp,1,29.5,Red,Bug; Grass,,,,
venonat,48,Venonat,Bug,Poison,60,55,50,40,55,45,Compound Eyes,Tinted Lens,Run Away,1,30,Purple,Bug,,,,
venomoth,49,Venomoth,Bug,Poison,70,65,60,90,75,90,Shield Dust,Tinted Lens,Wonder Skin,1.5,12.5,Purple,Bug,,,,
diglett,50,Diglett,Ground,,10,55,25,35,45,95,Sand Veil,Arena Trap,Sand Force,0.2,0.8,Brown,Field,,,,
diglettalola,50,Diglett-Alola,Ground,Steel,10,55,30,35,45,90,Sand Veil,Tangling Hair,Sand Force,0.2,1,Brown,Field,,,Alola,Diglett
dugtrio,51,Dugtrio,Ground,,35,100,50,50,70,120,Sand Veil,Arena Trap,Sand Force,0.7,33.3,Brown,Field,,,,
dugtrioalola,51,Dugtrio-Alola,Ground,Steel,35,100,60,50,70,110,Sand Veil,Tangling Hair,Sand Force,0.7,66.6,Brown,Field,,,Alola,Dugtrio
meowth,52,Meowth,Normal,,40,45,35,40,40,90,Pickup,Technician,Unnerve,0.4,4.2,Yellow,Field,,,,
meowthalola,52,Meowth-Alola,Dark,,40,35,35,50,40,90,Pickup,Technician,Rattled,0.4,4.2,Blue,Field,,,Alola,Meowth
meowthgalar,52,Meowth-Galar,Steel,,50,65,55,40,40,40,Pickup,Tough Claws,Unnerve,0.4,7.5,Brown,Field,,,Galar,Meowth
meowthgmax,52,Meowth-Gmax,Normal,,40,45,35,40,40,90,Pickup,Technician,Unnerve,33,0,Yellow,Field,,,Gmax,Meowth
persian,53,Persian,Normal,,65,70,60,65,65,115,Limber,Technician,Unnerve,1,32,Yellow,Field,,,,
persianalola,53,Persian-Alola,Dark,,65,60,60,75,65,115,Fur Coat,Technician,Rattled,1.1,33,Blue,Field,,,Alola,Persian
psyduck,54,Psyduck,Water,,50,52,48,65,50,55,Damp,Cloud Nine,Swift Swim,0.8,19.6,Yellow,Water 1; Field,,,,
golduck,55,Golduck,Water,,80,82,78,95,80,85,Damp,Cloud Nine,Swift Swim,1.7,76.6,Blue,Water 1; Field,,,,
mankey,56,Mankey,Fighting,,40,80,35,35,45,70,Vital Spirit,Anger Point,Defiant,0.5,28,Brown,Field,,,,
primeape,57,Primeape,Fighting,,65,105,60,60,70,95,Vital Spirit,Anger Point,Defiant,1,32,Brown,Field,,,,
growlithe,58,Growlithe,Fire,,55,70,45,70,50,60,Intimidate,Flash Fire,Justified,0.7,19,Brown,Field,0.75,0.25,,
growlithehisui,58,Growlithe-Hisui,Fire,Rock,60,75,45,65,50,55,Intimidate,Flash Fire,Rock Head,0.8,22.7,Brown,Field,0.75,0.25,Hisui,Growlithe
arcanine,59,Arcanine,Fire,,90,110,80,100,80,95,Intimidate,Flash Fire,Justified,1.9,155,Brown,Field,0.75,0.25,,
arcaninehisui,59,Arcanine-Hisui,Fire,Rock,95,115,80,95,80,90,Intimidate,Flash Fire,Rock Head,2,168,Brown,Field,0.75,0.25,Hisui,Arcanine
poliwag,60,Poliwag,Water,,40,50,40,40,40,90,Water Absorb,Damp,Swift Swim,0.6,12.4,Blue,Water 1,,,,
poliwhirl,61,Poliwhirl,Water,,65,65,65,50,50,90,Water Absorb,Damp,Swift Swim,1,20,Blue,Water 1,,,,
poliwrath,62,Poliwrath,Water,Fighting,90,95,95,70,90,70,Water Absorb,Damp,Swift Swim,1.3,54,Blue,Water 1,,,,
abra,63,Abra,Psychic,,25,20,15,105,55,90,Synchronize,Inner Focus,Magic Guard,0.9,19.5,Brown,Human-Like,0.75,0.25,,
kadabra,64,Kadabra,Psychic,,40,35,30,120,70,105,Synchronize,Inner Focus,Magic Guard,1.3,56.5,Brown,Human-Like,0.75,0.25,,
alakazam,65,Alakazam,Psychic,,55,50,45,135,95,120,Synchronize,Inner Focus,Magic Guard,1.5,48,Brown,Human-Like,0.75,0.25,,
alakazammega,65,Alakazam-Mega,Psychic,,55,50,65,175,105,150,Trace,,,1.2,48,Brown,Human-Like,0.75,0.25,Mega,Alakazam
machop,66,Machop,Fighting,,70,80,50,35,35,35,Guts,No Guard,Steadfast,0.8,19.5,Gray,Human-Like,0.75,0.25,,
machoke,67,Machoke,Fighting,,80,100,70,50,60,45,Guts,No Guard,Steadfast,1.5,70.5,Gray,Human-Like,0.75,0.25,,
machamp,68,Machamp,Fighting,,90,130,80,65,85,55,Guts,No Guard,Steadfast,1.6,130,Gray,Human-Like,0.75,0.25,,
machampgmax,68,Machamp-Gmax,Fighting,,90,130,80,65,85,55,Guts,No Guard,Steadfast,25,0,Gray,Human-Like,0.75,0.25,Gmax,Machamp
bellsprout,69,Bellsprout,Grass,Poison,50,75,35,70,30,40,Chlorophyll,,Gluttony,0.7,4,Green,Grass,,,,
weepinbell,70,Weepinbell,Grass,Poison,65,90,50,85,45,55,Chlorophyll,,Gluttony,1,6.4,Green,Grass,,,,
victreebel,71,Victreebel,Grass,Poison,80,105,65,100,70,70,Chlorophyll,,Gluttony,1.7,15.5,Green,Grass,,,,
victreebelmega,71,Victreebel-Mega,Grass,Poison,80,125,85,135,95,70,Chlorophyll,,Gluttony,4.5,125.5,Green,Grass,,,Mega,Victreebel
tentacool,72,Tentacool,Water,Poison,40,40,35,50,100,70,Clear Body,Liquid Ooze,Rain Dish,0.9,45.5,Blue,Water 3,,,,
tentacruel,73,Tentacruel,Water,Poison,80,70,65,80,120,100,Clear Body,Liquid Ooze,Rain Dish,1.6,55,Blue,Water 3,,,,
geodude,74,Geodude,Rock,Ground,40,80,100,30,30,20,Rock Head,Sturdy,Sand Veil,0.4,20,Brown,Mineral,,,,
geodudealola,74,Geodude-Alola,Rock,Electric,40,80,100,30,30,20,Magnet Pull,Sturdy,Galvanize,0.4,20.3,Gray,Mineral,,,Alola,Geodude
graveler,75,Graveler,Rock,Ground,55,95,115,45,45,35,Rock Head,Sturdy,Sand Veil,1,105,Brown,Mineral,,,,
graveleralola,75,Graveler-Alola,Rock,Electric,55,95,115,45,45,35,Magnet Pull,Sturdy,Galvanize,1,110,Gray,Mineral,,,Alola,Graveler
golem,76,Golem,Rock,Ground,80,120,130,55,65,45,Rock Head,Sturdy,Sand Veil,1.4,300,Brown,Mineral,,,,
golemalola,76,Golem-Alola,Rock,Electric,80,120,130,55,65,45,Magnet Pull,Sturdy,Galvanize,1.7,316,Gray,Mineral,,,Alola,Golem
ponyta,77,Ponyta,Fire,,50,85,55,65,65,90,Run Away,Flash Fire,Flame Body,1,30,Yellow,Field,,,,
ponytagalar,77,Ponyta-Galar,Psychic,,50,85,55,65,65,90,Run Away,Pastel Veil,Anticipation,0.8,24,White,Field,,,Galar,Ponyta
rapidash,78,Rapidash,Fire,,65,100,70,80,80,105,Run Away,Flash Fire,Flame Body,1.7,95,Yellow,Field,,,,
rapidashgalar,78,Rapidash-Galar,Psychic,Fairy,65,100,70,80,80,105,Run Away,Pastel Veil,Anticipation,1.7,80,White,Field,,,Galar,Rapidash
slowpoke,79,Slowpoke,Water,Psychic,90,65,65,40,40,15,Oblivious,Own Tempo,Regenerator,1.2,36,Pink,Monster; Water 1,,,,
slowpokegalar,79,Slowpoke-Galar,Psychic,,90,65,65,40,40,15,Gluttony,Own Tempo,Regenerator,1.2,36,Pink,Monster; Water 1,,,Galar,Slowpoke
slowbro,80,Slowbro,Water,Psychic,95,75,110,100,80,30,Oblivious,Own Tempo,Regenerator,1.6,78.5,Pink,Monster; Water 1,,,,
slowbromega,80,Slowbro-Mega,Water,Psychic,95,75,180,130,80,30,Shell Armor,,,2,120,Pink,Monster; Water 1,,,Mega,Slowbro
slowbrogalar,80,Slowbro-Galar,Poison,Psychic,95,100,95,100,70,30,Quick Draw,Own Tempo,Regenerator,1.6,70.5,Pink,Monster; Water 1,,,Galar,Slowbro
magnemite,81,Magnemite,Electric,Steel,25,35,70,95,55,45,Magnet Pull,Sturdy,Analytic,0.3,6,Gray,Mineral,,,,
magneton,82,Magneton,Electric,Steel,50,60,95,120,70,70,Magnet Pull,Sturdy,Analytic,1,60,Gray,Mineral,,,,
farfetchd,83,Farfetch\u2019d,Normal,Flying,52,90,55,58,62,60,Keen Eye,Inner Focus,Defiant,0.8,15,Brown,Flying; Field,,,,
farfetchdgalar,83,Farfetch\u2019d-Galar,Fighting,,52,95,55,58,62,55,Steadfast,,Scrappy,0.8,42,Brown,Flying; Field,,,Galar,Farfetch\u2019d
doduo,84,Doduo,Normal,Flying,35,85,45,35,35,75,Run Away,Early Bird,Tangled Feet,1.4,39.2,Brown,Flying,,,,
dodrio,85,Dodrio,Normal,Flying,60,110,70,60,60,110,Run Away,Early Bird,Tangled Feet,1.8,85.2,Brown,Flying,,,,
seel,86,Seel,Water,,65,45,55,45,70,45,Thick Fat,Hydration,Ice Body,1.1,90,White,Water 1; Field,,,,
dewgong,87,Dewgong,Water,Ice,90,70,80,70,95,70,Thick Fat,Hydration,Ice Body,1.7,120,White,Water 1; Field,,,,
grimer,88,Grimer,Poison,,80,80,50,40,50,25,Stench,Sticky Hold,Poison Touch,0.9,30,Purple,Amorphous,,,,
grimeralola,88,Grimer-Alola,Poison,Dark,80,80,50,40,50,25,Poison Touch,Gluttony,Power of Alchemy,0.7,42,Green,Amorphous,,,Alola,Grimer
muk,89,Muk,Poison,,105,105,75,65,100,50,Stench,Sticky Hold,Poison Touch,1.2,30,Purple,Amorphous,,,,
